Benchmarks run in Release mode, in Auckland Airport on 29th March
sparseA implemented, ONLY APPLIED TO RC CALCULATION
System: Core 2 Duo T9500 @ 2.6 GHz, Win 7 Pro
Adding up the times for the test suite = 140.841 seconds (half of without!)

RESULTS			140.841	
Name	Result	Expected	Time	NumRow
ADLITTLE.TXT.MPS	225494.963	225494.963	0.005	56
AFIRO.TXT.MPS	-464.753	-464.753	0.001	27
AGG2.TXT.MPS	-20239252.36	-20239252.36	1.48	516
AGG3.TXT.MPS	10312115.94	10312115.94	1.493	516
BEACONFD.TXT.MPS	33592.486	33592.486	0.056	173
BLEND.TXT.MPS	-30.812	-30.812	0.01	74
BRANDY.TXT.MPS	1518.51	1518.51	0.235	220
CZPROB.TXT.MPS	2185196.699	2185196.699	29.098	929
DEGEN2.TXT.MPS	-1435.178	-1435.178	3.889	444
E226.TXT.MPS	-18.752	-18.752	0.406	223
FIT1D.TXT.MPS	-9146.378	-9146.378	0.104	24
FIT1P.TXT.MPS	9146.378	9146.378	10.672	627
GROW15.TXT.MPS	-106870941.3	-106870941.3	0.65	300
GROW22.TXT.MPS	-160834336.5	-160834336.5	2.232	440
GROW7.TXT.MPS	-47787811.82	-47787811.82	0.061	140
ISRAEL.TXT.MPS	-896644.822	-896644.822	0.212	174
KB2.TXT.MPS	-1749.9	-1749.9	0.003	43
SC105.TXT.MPS	-52.202	-52.202	0.013	105
SC205.TXT.MPS	-52.202	-52.202	0.092	205
SCAGR25.TXT.MPS	-14753433.06	-14753433.06	2.036	471
SCAGR7.TXT.MPS	-2331389.824	-2331389.255	0.031	129
SCFXM1.TXT.MPS	18416.759	18416.759	0.683	330
SCFXM2.TXT.MPS	36660.262	36660.262	6.767	660
SCORPION.TXT.MPS	1875.852	1878.125	0.531	388
SCSD1.TXT.MPS	8.667	8.667	0.035	77
SCSD6.TXT.MPS	50.5	50.5	0.136	147
SCSD8.TXT.MPS	905	905	2.137	397
SCTAP1.TXT.MPS	1412.25	1412.25	0.604	300
SCTAP2.TXT.MPS	1724.807	1724.807	58.605	1090
SHARE1B.TXT.MPS	-76589.319	-76589.319	0.057	117
SHARE2B.TXT.MPS	-415.732	-415.732	0.015	96
SHIP04L.TXT.MPS	1793324.538	1793324.538	0.8	402
SHIP04S.TXT.MPS	1798714.7	1798714.7	0.751	402
SHIP08L.TXT.MPS	1909055.211	1909055.211	10.093	778
SHIP08s.TXT.MPS	1920098.211	1920098.211	6.827	778
STOCFOR1.TXT.MPS	-41131.976	-41131.976	0.021	117
